날짜,시간,구장,경기  홈팀원정팀,구분
2023.02.19 일,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.02.20 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.02.21 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.02.22 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.02.23 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.02.24 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.02.25 토,14:00,울산 문수 축구경기장,종료  울산  2  전북  1,1R
2023.02.25 토,16:30,서울 월드컵 경기장,종료  서울  2  인천  1,1R
2023.02.25 토,16:30,수원 월드컵 경기장,종료  수원  0  광주  1,1R
2023.02.26 일,14:00,제주 월드컵 경기장,종료  제주  0  수원FC  0,1R
2023.02.26 일,14:30,포항 스틸야드,종료  포항  3  대구  2,1R
2023.02.26 일,16:30,대전 월드컵 경기장,종료  대전  2  강원  0,1R
2023.02.27 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.02.28 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.01 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.02 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.03 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.04 토,14:00,인천 축구 전용경기장,종료  인천  3  대전  3,2R
2023.03.04 토,14:00,수원 종합 운동장,종료  수원FC  1  포항  2,2R
2023.03.04 토,16:30,대구iM뱅크PARK,종료  대구  1  제주  1,2R
2023.03.05 일,14:00,전주 월드컵 경기장,종료  전북  1  수원  1,2R
2023.03.05 일,14:00,춘천 송암 스포츠타운,종료  강원  0  울산  1,2R
2023.03.05 일,16:30,광주 축구 전용경기장,종료  광주  0  서울  2,2R
2023.03.06 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.07 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.08 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.09 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.10 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.11 토,14:00,수원 종합 운동장,종료  수원FC  2  수원  1,3R
2023.03.11 토,14:00,대전 월드컵 경기장,종료  대전  0  포항  0,3R
2023.03.11 토,16:30,춘천 송암 스포츠타운,종료  강원  1  대구  1,3R
2023.03.12 일,14:00,서울 월드컵 경기장,종료  서울  1  울산  2,3R
2023.03.12 일,16:30,전주 월드컵 경기장,종료  전북  2  광주  0,3R
2023.03.12 일,16:30,인천 축구 전용경기장,종료  인천  1  제주  0,3R
2023.03.13 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.14 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.15 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.16 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.17 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.18 토,14:00,포항 스틸야드,종료  포항  1  강원  1,4R
2023.03.18 토,14:00,광주 축구 전용경기장,종료  광주  5  인천  0,4R
2023.03.18 토,16:30,제주 월드컵 경기장,종료  제주  1  서울  2,4R
2023.03.19 일,14:00,대구iM뱅크PARK,종료  대구  2  전북  0,4R
2023.03.19 일,14:00,수원 월드컵 경기장,종료  수원  1  대전  3,4R
2023.03.19 일,16:30,울산 문수 축구경기장,종료  울산  3  수원FC  0,4R
2023.03.20 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.21 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.22 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.23 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.24 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.25 토,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.26 일,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.27 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.28 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.29 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.30 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.31 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.01 토,14:00,전주 월드컵 경기장,종료  전북  1  포항  2,5R
2023.04.01 토,16:30,인천 축구 전용경기장,종료  인천  0  대구  0,5R
2023.04.01 토,16:30,광주 축구 전용경기장,종료  광주  2  수원FC  0,5R
2023.04.01 토,19:00,대전 월드컵 경기장,종료  대전  3  서울  2,5R
2023.04.02 일,14:00,제주 월드컵 경기장,종료  제주  1  울산  3,5R
2023.04.02 일,16:30,수원 월드컵 경기장,종료  수원  1  강원  1,5R
2023.04.03 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.04 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.05 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.06 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.07 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.08 토,14:00,울산 문수 축구경기장,종료  울산  2  수원  1,6R
2023.04.08 토,16:30,서울 월드컵 경기장,종료  서울  3  대구  0,6R
2023.04.08 토,19:00,포항 스틸야드,종료  포항  2  광주  0,6R
2023.04.09 일,15:00,수원 종합 운동장,종료  수원FC  5  대전  3,6R
2023.04.09 일,16:30,전주 월드컵 경기장,종료  전북  2  인천  0,6R
2023.04.09 일,19:00,춘천 송암 스포츠타운,종료  강원  0  제주  1,6R
2023.04.10 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.11 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.12 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.13 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.14 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.15 토,14:00,수원 월드컵 경기장,종료  수원  2  제주  3,7R
2023.04.15 토,16:30,포항 스틸야드,종료  포항  1  서울  1,7R
2023.04.15 토,19:00,수원 종합 운동장,종료  수원FC  1  전북  0,7R
2023.04.16 일,14:00,춘천 송암 스포츠타운,종료  강원  0  인천  2,7R
2023.04.16 일,16:30,대전 월드컵 경기장,종료  대전  2  울산  1,7R
2023.04.16 일,19:00,대구iM뱅크PARK,종료  대구  3  광주  4,7R
2023.04.17 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.18 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.19 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.20 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.21 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.22 토,14:00,서울 월드컵 경기장,종료  서울  3  수원  1,8R
2023.04.22 토,16:30,울산 문수 축구경기장,종료  울산  2  포항  2,8R
2023.04.22 토,16:30,대구iM뱅크PARK,종료  대구  1  대전  0,8R
2023.04.22 토,19:00,인천 축구 전용경기장,종료  인천  2  수원FC  2,8R
2023.04.23 일,14:00,광주 축구 전용경기장,종료  광주  0  강원  0,8R
2023.04.23 일,16:30,제주 월드컵 경기장,종료  제주  0  전북  2,8R
2023.04.24 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.25 화,19:30,포항 스틸야드,종료  포항  1  수원  0,9R
2023.04.25 화,19:30,인천 축구 전용경기장,종료  인천  0  울산  1,9R
2023.04.26 수,19:00,춘천 송암 스포츠타운,종료  강원  3  서울  2,9R
2023.04.26 수,19:00,광주 축구 전용경기장,종료  광주  0  제주  1,9R
2023.04.26 수,19:30,전주 월드컵 경기장,종료  전북  1  대전  2,9R
2023.04.26 수,19:30,수원 종합 운동장,종료  수원FC  1  대구  1,9R
2023.04.27 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.28 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.29 토,14:00,수원 종합 운동장,종료  수원FC  0  서울  3,10R
2023.04.29 토,16:30,전주 월드컵 경기장,종료  전북  0  강원  1,10R
2023.04.30 일,14:00,대전 월드컵 경기장,종료  대전  0  제주  3,10R
2023.04.30 일,15:00,포항 스틸야드,종료  포항  0  인천  2,10R
2023.04.30 일,16:30,수원 월드컵 경기장,종료  수원  0  대구  1,10R
2023.04.30 일,19:00,울산 문수 축구경기장,종료  울산  2  광주  1,10R
2023.05.01 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.02 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.03 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.04 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.05 금,14:00,대구iM뱅크PARK,종료  대구  0  울산  3,11R
2023.05.05 금,14:00,서울 월드컵 경기장,종료  서울  1  전북  1,11R
2023.05.05 금,16:30,인천 축구 전용경기장,종료  인천  0  수원  1,11R
2023.05.06 토,14:00,제주 월드컵 경기장,종료  제주  2  포항  1,11R
2023.05.06 토,16:30,수원 종합 운동장,종료  수원FC  2  강원  0,11R
2023.05.06 토,19:00,광주 축구 전용경기장,종료  광주  0  대전  0,11R
2023.05.07 일,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.08 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.09 화,19:00,울산 문수 축구경기장,종료  울산  1  강원  0,12R
2023.05.09 화,19:30,대구iM뱅크PARK,종료  대구  1  포항  1,12R
2023.05.09 화,19:30,서울 월드컵 경기장,종료  서울  3  광주  1,12R
2023.05.10 수,19:30,제주 월드컵 경기장,종료  제주  2  인천  0,12R
2023.05.10 수,19:30,수원 월드컵 경기장,종료  수원  0  전북  3,12R
2023.05.10 수,19:30,대전 월드컵 경기장,종료  대전  2  수원FC  1,12R
2023.05.11 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.12 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.13 토,14:00,포항 스틸야드,종료  포항  3  대전  2,13R
2023.05.13 토,16:30,광주 축구 전용경기장,종료  광주  0  대구  2,13R
2023.05.13 토,19:00,춘천 송암 스포츠타운,종료  강원  0  수원  2,13R
2023.05.14 일,14:30,울산 문수 축구경기장,종료  울산  3  서울  2,13R
2023.05.14 일,16:30,인천 축구 전용경기장,종료  인천  0  전북  0,13R
2023.05.14 일,19:00,수원 종합 운동장,종료  수원FC  0  제주  5,13R
2023.05.15 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.16 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.17 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.18 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.19 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.20 토,16:30,인천 축구 전용경기장,종료  인천  1  광주  1,14R
2023.05.20 토,18:00,서울 월드컵 경기장,종료  서울  1  제주  1,14R
2023.05.20 토,19:00,대전 월드컵 경기장,종료  대전  0  대구  1,14R
2023.05.21 일,16:30,춘천 송암 스포츠타운,종료  강원  0  포항  0,14R
2023.05.21 일,18:00,수원 월드컵 경기장,종료  수원  2  울산  3,14R
2023.05.21 일,19:00,전주 월드컵 경기장,종료  전북  3  수원FC  1,14R
2023.05.22 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.23 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.24 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.25 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.26 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.27 토,16:30,제주 월드컵 경기장,종료  제주  2  수원  1,15R
2023.05.27 토,19:00,대구iM뱅크PARK,종료  대구  2  인천  2,15R
2023.05.28 일,16:30,서울 월드컵 경기장,종료  서울  1  강원  0,15R
2023.05.28 일,18:00,수원 종합 운동장,종료  수원FC  0  광주  2,15R
2023.05.28 일,19:00,울산 문수 축구경기장,종료  울산  3  대전  3,15R
2023.05.29 월,16:30,포항 스틸야드,종료  포항  1  전북  0,15R
2023.05.30 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.31 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.01 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.02 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.03 토,16:30,전주 월드컵 경기장,종료  전북  2  울산  0,16R
2023.06.03 토,18:00,수원 월드컵 경기장,종료  수원  1  수원FC  2,16R
2023.06.03 토,19:00,제주 월드컵 경기장,종료  제주  2  강원  2,16R
2023.06.03 토,19:30,광주 축구 전용경기장,종료  광주  4  포항  2,16R
2023.06.04 일,16:30,대전 월드컵 경기장,종료  대전  1  인천  3,16R
2023.06.04 일,19:00,대구iM뱅크PARK,종료  대구  1  서울  0,16R
2023.06.05 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.06 화,16:30,수원 종합 운동장,종료  수원FC  1  울산  3,17R
2023.06.06 화,18:00,포항 스틸야드,종료  포항  2  제주  1,17R
2023.06.07 수,19:00,광주 축구 전용경기장,종료  광주  2  수원  1,17R
2023.06.07 수,19:00,전주 월드컵 경기장,종료  전북  1  대구  0,17R
2023.06.07 수,19:30,인천 축구 전용경기장,종료  인천  1  서울  1,17R
2023.06.07 수,19:30,춘천 송암 스포츠타운,종료  강원  1  대전  2,17R
2023.06.08 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.09 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.10 토,16:30,대구iM뱅크PARK,종료  대구  3  수원FC  1,18R
2023.06.10 토,18:00,울산 문수 축구경기장,종료  울산  5  제주  1,18R
2023.06.10 토,20:00,대전 월드컵 경기장,종료  대전  1  광주  1,18R
2023.06.11 일,16:30,춘천 송암 스포츠타운,종료  강원  1  전북  2,18R
2023.06.11 일,18:00,서울 월드컵 경기장,종료  서울  1  포항  1,18R
2023.06.11 일,19:00,수원 월드컵 경기장,종료  수원  0  인천  0,18R
2023.06.12 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.13 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.14 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.15 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.16 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.17 토,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.18 일,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.19 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.20 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.21 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.22 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.23 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.24 토,16:30,수원 월드컵 경기장,종료  수원  0  서울  1,19R
2023.06.24 토,18:00,제주 월드컵 경기장,종료  제주  1  대전  1,19R
2023.06.24 토,19:00,광주 축구 전용경기장,종료  광주  2  전북  0,19R
2023.06.24 토,19:30,울산 문수 축구경기장,종료  울산  3  대구  1,19R
2023.06.25 일,16:30,인천 축구 전용경기장,종료  인천  0  포항  1,19R
2023.06.25 일,19:00,수원 종합 운동장,종료  수원FC  1  강원  1,19R
2023.06.26 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.27 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.28 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.29 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.30 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.01 토,18:00,전주 월드컵 경기장,종료  전북  2  제주  0,20R
2023.07.01 토,19:00,대구iM뱅크PARK,종료  대구  1  수원  1,20R
2023.07.01 토,19:30,서울 월드컵 경기장,종료  서울  0  대전  0,20R
2023.07.02 일,18:00,광주 축구 전용경기장,종료  광주  0  울산  1,20R
2023.07.02 일,19:00,포항 스틸야드,종료  포항  3  수원FC  1,20R
2023.07.02 일,20:00,인천 축구 전용경기장,종료  인천  1  강원  0,20R
2023.07.03 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.04 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.05 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.06 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.07 금,19:30,제주 월드컵 경기장,종료  제주  1  대구  2,21R
2023.07.07 금,19:30,강릉 종합 운동장,종료  강원  1  광주  1,21R
2023.07.08 토,18:00,포항 스틸야드,종료  포항  0  울산  1,21R
2023.07.08 토,19:00,수원 종합 운동장,종료  수원FC  2  인천  2,21R
2023.07.08 토,19:30,전주 월드컵 경기장,종료  전북  2  서울  1,21R
2023.07.09 일,19:00,대전 월드컵 경기장,종료  대전  2  수원  2,21R
2023.07.10 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.11 화,19:00,대구iM뱅크PARK,종료  대구  0  강원  0,22R
2023.07.11 화,19:30,제주 월드컵 경기장,종료  제주  0  광주  0,22R
2023.07.12 수,19:00,울산 문수 축구경기장,종료  울산  1  인천  2,22R
2023.07.12 수,19:30,수원 월드컵 경기장,종료  수원  1  포항  1,22R
2023.07.12 수,19:30,대전 월드컵 경기장,종료  대전  2  전북  2,22R
2023.07.12 수,19:30,서울 월드컵 경기장,종료  서울  7  수원FC  2,22R
2023.07.13 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.14 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.15 토,19:00,수원 월드컵 경기장,종료  수원  3  울산  1,23R
2023.07.15 토,19:30,강릉 종합 운동장,종료  강원  1  서울  1,23R
2023.07.15 토,20:00,광주 축구 전용경기장,종료  광주  1  대구  1,23R
2023.07.16 일,19:00,전주 월드컵 경기장,종료  전북  1  수원FC  0,23R
2023.07.16 일,19:30,포항 스틸야드,종료  포항  4  제주  2,23R
2023.07.16 일,20:00,인천 축구 전용경기장,종료  인천  2  대전  0,23R
2023.07.17 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.18 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.19 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.20 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.21 금,19:30,울산 문수 축구경기장,종료  울산  2  제주  1,24R
2023.07.21 금,19:30,포항 스틸야드,종료  포항  2  전북  1,24R
2023.07.22 토,19:00,수원 종합 운동장,종료  수원FC  0  광주  1,24R
2023.07.22 토,19:30,강릉 종합 운동장,종료  강원  1  수원  2,24R
2023.07.22 토,19:30,서울 월드컵 경기장,종료  서울  0  인천  1,24R
2023.07.22 토,20:00,대전 월드컵 경기장,종료  대전  1  대구  0,24R
2023.07.23 일,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.24 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.25 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.26 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.27 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.28 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.29 토,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.30 일,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.31 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.08.01 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.08.02 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
