날짜,시간,구장,경기원정팀홈팀,구분,중계방송사
2023.02.19 일,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.02.20 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.02.21 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.02.22 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.02.23 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.02.24 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.02.25 토,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.02.26 일,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.02.27 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.02.28 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.01 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.02 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.03 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.04 토,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.05 일,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.06 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.07 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.08 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.09 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.10 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.11 토,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.12 일,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.13 월,14:00,한화생명 이글스 파크,종료  KIA  1  한화  6,시범경기,SBS SPORTS
2023.03.13 월,14:00,고척 스카이돔,종료  KT  2  키움  1,시범경기,MBC SPORTS+
2023.03.13 월,14:00,창원NC파크,종료  LG  4  NC  2,시범경기,SPOTV
2023.03.13 월,14:00,사직야구장,종료  두산  5  롯데  3,시범경기,KBS N SPORTS
2023.03.13 월,14:00,대구 삼성 라이온즈 파크,종료  SSG  1  삼성  3,시범경기,SPOTV2
2023.03.14 화,14:00,한화생명 이글스 파크,종료  KIA  8  한화  3,시범경기,SBS SPORTS
2023.03.14 화,14:00,고척 스카이돔,종료  KT  11  키움  1,시범경기,MBC SPORTS+
2023.03.14 화,14:00,창원NC파크,종료  LG  5  NC  2,시범경기,SPOTV
2023.03.14 화,14:00,사직야구장,종료  두산  4  롯데  8,시범경기,KBS N SPORTS
2023.03.14 화,14:00,대구 삼성 라이온즈 파크,종료  SSG  2  삼성  1,시범경기,SPOTV2
2023.03.15 수,13:00,고척 스카이돔,종료  KIA  6  키움  2,시범경기,SPOTV
2023.03.15 수,13:00,한화생명 이글스 파크,종료  KT  4  한화  10,시범경기,MBC SPORTS+
2023.03.15 수,13:00,대구 삼성 라이온즈 파크,종료  LG  8  삼성  14,시범경기,KBS N SPORTS
2023.03.15 수,13:00,창원NC파크,종료  두산  7  NC  3,시범경기,SPOTV2
2023.03.15 수,13:00,사직야구장,종료  SSG  4  롯데  2,시범경기,SBS SPORTS
2023.03.16 목,14:00,고척 스카이돔,종료  KIA  2  키움  3,시범경기,SPOTV
2023.03.16 목,14:00,한화생명 이글스 파크,종료  KT  3  한화  5,시범경기,MBC SPORTS+
2023.03.16 목,14:00,대구 삼성 라이온즈 파크,종료  LG  5  삼성  2,시범경기,KBS N SPORTS
2023.03.16 목,14:00,창원NC파크,종료  두산  0  NC  3,시범경기,SPOTV2
2023.03.16 목,14:00,사직야구장,종료  SSG  3  롯데  3,시범경기,SBS SPORTS
2023.03.17 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.18 토,13:00,대구 삼성 라이온즈 파크,종료  KT  4  삼성  5,시범경기,SPOTV2
2023.03.18 토,13:00,사직야구장,종료  LG  7  롯데  2,시범경기,SPOTV
2023.03.18 토,13:00,광주-기아 챔피언스필드,종료  두산  3  KIA  3,시범경기,MBC SPORTS+
2023.03.18 토,13:00,창원NC파크,종료  SSG  6  NC  7,시범경기,KBS N SPORTS
2023.03.18 토,13:00,한화생명 이글스 파크,종료  키움  2  한화  10,시범경기,네이버
2023.03.19 일,13:00,대구 삼성 라이온즈 파크,종료  KT  1  삼성  4,시범경기,SPOTV2
2023.03.19 일,13:00,사직야구장,종료  LG  5  롯데  2,시범경기,SPOTV
2023.03.19 일,13:00,광주-기아 챔피언스필드,종료  두산  1  KIA  8,시범경기,MBC SPORTS+
2023.03.19 일,13:00,창원NC파크,종료  SSG  3  NC  4,시범경기,네이버
2023.03.19 일,13:00,한화생명 이글스 파크,종료  키움  12  한화  4,시범경기,SBS SPORTS
2023.03.20 월,13:00,광주-기아 챔피언스필드,종료  LG  1  KIA  3,시범경기,SPOTV2
2023.03.20 월,13:00,대구 삼성 라이온즈 파크,종료  롯데  2  삼성  5,시범경기,MBC SPORTS+
2023.03.20 월,13:00,수원 케이티위즈 파크,종료  두산  2  KT  8,시범경기,SBS SPORTS
2023.03.20 월,13:00,한화생명 이글스 파크,종료  SSG  1  한화  10,시범경기,SPOTV
2023.03.20 월,13:00,창원NC파크,종료  키움  6  NC  0,시범경기,KBS N SPORTS
2023.03.21 화,13:00,광주-기아 챔피언스필드,종료  LG  6  KIA  2,시범경기,SPOTV2
2023.03.21 화,13:00,대구 삼성 라이온즈 파크,종료  롯데  10  삼성  12,시범경기,MBC SPORTS+
2023.03.21 화,13:00,수원 케이티위즈 파크,종료  두산  5  KT  5,시범경기,SBS SPORTS
2023.03.21 화,13:00,한화생명 이글스 파크,종료  SSG  3  한화  3,시범경기,SPOTV
2023.03.21 화,13:00,창원NC파크,종료  키움  5  NC  5,시범경기,KBS N SPORTS
2023.03.22 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.23 목,13:00,수원 케이티위즈 파크,종료  LG  6  KT  2,시범경기,SBS SPORTS
2023.03.23 목,13:00,창원NC파크,경기취소  롯데  -  NC  -,시범경기,MBC SPORTS+
2023.03.23 목,13:00,한화생명 이글스 파크,경기취소  두산  -  한화  -,시범경기,SPOTV2
2023.03.23 목,13:00,광주-기아 챔피언스필드,경기취소  SSG  -  KIA  -,시범경기,KBS N SPORTS
2023.03.23 목,13:00,고척 스카이돔,종료  삼성  6  키움  5,시범경기,SPOTV
2023.03.24 금,13:00,수원 케이티위즈 파크,종료  LG  1  KT  7,시범경기,SBS SPORTS
2023.03.24 금,13:00,창원NC파크,종료  롯데  6  NC  5,시범경기,MBC SPORTS+
2023.03.24 금,13:00,한화생명 이글스 파크,종료  두산  10  한화  3,시범경기,SPOTV2
2023.03.24 금,13:00,광주-기아 챔피언스필드,종료  SSG  3  KIA  2,시범경기,KBS N SPORTS
2023.03.24 금,13:00,고척 스카이돔,종료  삼성  4  키움  3,시범경기,SPOTV
2023.03.25 토,13:00,고척 스카이돔,종료  LG  8  키움  1,시범경기,SPOTV
2023.03.25 토,13:00,수원 케이티위즈 파크,종료  SSG  5  KT  5,시범경기,네이버
2023.03.25 토,13:00,잠실야구장,종료  삼성  5  두산  3,시범경기,MBC SPORTS+
2023.03.25 토,18:00,사직야구장,종료  한화  5  롯데  1,시범경기,SPOTV2
2023.03.25 토,18:00,광주-기아 챔피언스필드,종료  NC  4  KIA  4,시범경기,SBS SPORTS
2023.03.26 일,13:00,사직야구장,종료  한화  4  롯데  1,시범경기,SPOTV2
2023.03.26 일,13:00,고척 스카이돔,종료  LG  2  키움  4,시범경기,SPOTV
2023.03.26 일,13:00,광주-기아 챔피언스필드,종료  NC  3  KIA  4,시범경기,SBS SPORTS
2023.03.26 일,13:00,수원 케이티위즈 파크,종료  SSG  1  KT  4,시범경기,네이버
2023.03.26 일,13:00,잠실야구장,종료  삼성  2  두산  1,시범경기,MBC SPORTS+
2023.03.27 월,13:00,수원 케이티위즈 파크,종료  NC  0  KT  2,시범경기,네이버
2023.03.27 월,13:00,고척 스카이돔,종료  두산  5  키움  3,시범경기,SPOTV2
2023.03.27 월,13:00,잠실야구장,종료  SSG  5  LG  1,시범경기,MBC SPORTS+
2023.03.27 월,18:00,대구 삼성 라이온즈 파크,종료  한화  8  삼성  2,시범경기,SPOTV
2023.03.27 월,18:00,사직야구장,종료  KIA  2  롯데  6,시범경기,KBS N SPORTS
2023.03.28 화,13:00,대구 삼성 라이온즈 파크,종료  한화  14  삼성  3,시범경기,SPOTV
2023.03.28 화,13:00,사직야구장,종료  KIA  6  롯데  7,시범경기,KBS N SPORTS
2023.03.28 화,13:00,수원 케이티위즈 파크,종료  NC  3  KT  2,시범경기,네이버
2023.03.28 화,13:00,고척 스카이돔,종료  두산  2  키움  1,시범경기,SPOTV2
2023.03.28 화,13:00,잠실야구장,종료  SSG  1  LG  0,시범경기,MBC SPORTS+
2023.03.29 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.30 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.31 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.01 토,14:00,고척 스카이돔,종료  한화  2  키움  3,페넌트레이스,KBS 2TV
2023.04.01 토,14:00,인천 SSG 랜더스 필드,종료  KIA  1  SSG  4,페넌트레이스,MBC TV
2023.04.01 토,14:00,수원 케이티위즈 파크,종료  LG  6  KT  11,페넌트레이스,MBC SPORTS+
2023.04.01 토,14:00,잠실야구장,종료  롯데  10  두산  12,페넌트레이스,SBS TV
2023.04.01 토,14:00,대구 삼성 라이온즈 파크,종료  NC  8  삼성  0,페넌트레이스,KBS N SPORTS
2023.04.02 일,14:00,고척 스카이돔,종료  한화  6  키움  7,페넌트레이스,SPOTV2
2023.04.02 일,14:00,인천 SSG 랜더스 필드,종료  KIA  9  SSG  5,페넌트레이스,SBS SPORTS
2023.04.02 일,14:00,수원 케이티위즈 파크,종료  LG  10  KT  9,페넌트레이스,SPOTV
2023.04.02 일,14:00,잠실야구장,종료  롯데  2  두산  0,페넌트레이스,KBS N SPORTS
2023.04.02 일,14:00,대구 삼성 라이온즈 파크,종료  NC  6  삼성  8,페넌트레이스,MBC SPORTS+
2023.04.03 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.04 화,18:30,대구 삼성 라이온즈 파크,종료  한화  6  삼성  7,페넌트레이스,MBC SPORTS+
2023.04.04 화,18:30,수원 케이티위즈 파크,경기취소  KIA  -  KT  -,페넌트레이스,네이버
2023.04.04 화,18:30,고척 스카이돔,종료  LG  7  키움  1,페넌트레이스,SPOTV2
2023.04.04 화,18:30,인천 SSG 랜더스 필드,종료  롯데  1  SSG  3,페넌트레이스,네이버
2023.04.04 화,18:30,잠실야구장,종료  NC  0  두산  1,페넌트레이스,SPOTV
2023.04.05 수,18:30,대구 삼성 라이온즈 파크,경기취소  한화  -  삼성  -,페넌트레이스,MBC SPORTS+
2023.04.05 수,18:30,수원 케이티위즈 파크,경기취소  KIA  -  KT  -,페넌트레이스,SBS SPORTS
2023.04.05 수,18:30,고척 스카이돔,종료  LG  1  키움  2,페넌트레이스,SPOTV2
2023.04.05 수,18:30,인천 SSG 랜더스 필드,경기취소  롯데  -  SSG  -,페넌트레이스,KBS N SPORTS
2023.04.05 수,18:30,잠실야구장,종료  NC  9  두산  3,페넌트레이스,SPOTV
2023.04.06 목,18:30,대구 삼성 라이온즈 파크,종료  한화  8  삼성  1,페넌트레이스,MBC SPORTS+
2023.04.06 목,18:30,수원 케이티위즈 파크,경기취소  KIA  -  KT  -,페넌트레이스,네이버
2023.04.06 목,18:30,고척 스카이돔,종료  LG  5  키움  0,페넌트레이스,SPOTV2
2023.04.06 목,18:30,인천 SSG 랜더스 필드,경기취소  롯데  -  SSG  -,페넌트레이스,네이버
2023.04.06 목,18:30,잠실야구장,종료  NC  2  두산  6,페넌트레이스,SPOTV
2023.04.07 금,18:30,사직야구장,종료  KT  7  롯데  1,페넌트레이스,KBS N SPORTS
2023.04.07 금,18:30,광주-기아 챔피언스필드,종료  두산  4  KIA  1,페넌트레이스,SPOTV
2023.04.07 금,18:30,한화생명 이글스 파크,종료  SSG  7  한화  3,페넌트레이스,SBS SPORTS
2023.04.07 금,18:30,잠실야구장,종료  삼성  2  LG  7,페넌트레이스,MBC SPORTS+
2023.04.07 금,18:30,창원NC파크,종료  키움  0  NC  2,페넌트레이스,SPOTV2
2023.04.08 토,17:00,사직야구장,종료  KT  7  롯데  3,페넌트레이스,KBS N SPORTS
2023.04.08 토,17:00,광주-기아 챔피언스필드,종료  두산  6  KIA  7,페넌트레이스,SPOTV
2023.04.08 토,17:00,한화생명 이글스 파크,종료  SSG  7  한화  5,페넌트레이스,SBS SPORTS
2023.04.08 토,17:00,잠실야구장,종료  삼성  1  LG  2,페넌트레이스,MBC SPORTS+
2023.04.08 토,17:00,창원NC파크,종료  키움  5  NC  11,페넌트레이스,SPOTV2
2023.04.09 일,14:00,사직야구장,종료  KT  3  롯데  5,페넌트레이스,SBS SPORTS
2023.04.09 일,14:00,광주-기아 챔피언스필드,종료  두산  3  KIA  2,페넌트레이스,SPOTV
2023.04.09 일,14:00,한화생명 이글스 파크,종료  SSG  3  한화  0,페넌트레이스,MBC SPORTS+
2023.04.09 일,14:00,잠실야구장,종료  삼성  2  LG  3,페넌트레이스,MBC TV
2023.04.09 일,14:00,창원NC파크,종료  키움  1  NC  6,페넌트레이스,KBS N SPORTS
2023.04.10 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.11 화,18:30,광주-기아 챔피언스필드,종료  한화  5  KIA  4,페넌트레이스,SPOTV2
2023.04.11 화,18:30,창원NC파크,종료  KT  0  NC  1,페넌트레이스,KBS N SPORTS
2023.04.11 화,18:30,사직야구장,종료  LG  5  롯데  6,페넌트레이스,SPOTV
2023.04.11 화,18:30,대구 삼성 라이온즈 파크,종료  SSG  5  삼성  4,페넌트레이스,MBC SPORTS+
2023.04.11 화,18:30,잠실야구장,종료  키움  4  두산  6,페넌트레이스,SBS SPORTS
2023.04.12 수,18:30,광주-기아 챔피언스필드,종료  한화  0  KIA  2,페넌트레이스,SPOTV2
2023.04.12 수,18:30,창원NC파크,종료  KT  1  NC  5,페넌트레이스,KBS N SPORTS
2023.04.12 수,18:30,사직야구장,종료  LG  12  롯데  8,페넌트레이스,SPOTV
2023.04.12 수,18:30,대구 삼성 라이온즈 파크,종료  SSG  3  삼성  0,페넌트레이스,MBC SPORTS+
2023.04.12 수,18:30,잠실야구장,경기취소  키움  -  두산  -,페넌트레이스,SBS SPORTS
2023.04.13 목,18:30,광주-기아 챔피언스필드,종료  한화  5  KIA  1,페넌트레이스,SPOTV2
2023.04.13 목,18:30,창원NC파크,종료  KT  10  NC  3,페넌트레이스,KBS N SPORTS
2023.04.13 목,18:30,사직야구장,종료  LG  7  롯데  8,페넌트레이스,SPOTV
2023.04.13 목,18:30,대구 삼성 라이온즈 파크,종료  SSG  9  삼성  11,페넌트레이스,MBC SPORTS+
2023.04.13 목,18:30,잠실야구장,종료  키움  9  두산  2,페넌트레이스,SBS SPORTS
2023.04.14 금,18:30,수원 케이티위즈 파크,종료  한화  7  KT  7,페넌트레이스,MBC SPORTS+
2023.04.14 금,18:30,고척 스카이돔,종료  KIA  2  키움  9,페넌트레이스,SPOTV2
2023.04.14 금,18:30,대구 삼성 라이온즈 파크,종료  롯데  7  삼성  9,페넌트레이스,KBS N SPORTS
2023.04.14 금,18:30,인천 SSG 랜더스 필드,종료  NC  1  SSG  2,페넌트레이스,SBS SPORTS
2023.04.14 금,18:30,잠실야구장,종료  두산  4  LG  13,페넌트레이스,SPOTV
2023.04.15 토,17:00,수원 케이티위즈 파크,종료  한화  7  KT  2,페넌트레이스,MBC SPORTS+
2023.04.15 토,17:00,고척 스카이돔,종료  KIA  1  키움  6,페넌트레이스,SPOTV2
2023.04.15 토,17:00,대구 삼성 라이온즈 파크,종료  롯데  9  삼성  5,페넌트레이스,KBS N SPORTS
2023.04.15 토,17:00,인천 SSG 랜더스 필드,종료  NC  1  SSG  0,페넌트레이스,SBS SPORTS
2023.04.15 토,17:00,잠실야구장,종료  두산  1  LG  3,페넌트레이스,SPOTV
2023.04.16 일,14:00,수원 케이티위즈 파크,종료  한화  2  KT  14,페넌트레이스,MBC SPORTS+
2023.04.16 일,14:00,고척 스카이돔,종료  KIA  0  키움  2,페넌트레이스,SPOTV2
2023.04.16 일,14:00,대구 삼성 라이온즈 파크,종료  롯데  1  삼성  9,페넌트레이스,KBS N SPORTS
2023.04.16 일,14:00,인천 SSG 랜더스 필드,종료  NC  10  SSG  5,페넌트레이스,SBS SPORTS
2023.04.16 일,14:00,잠실야구장,종료  두산  10  LG  5,페넌트레이스,SPOTV
2023.04.17 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.18 화,18:30,사직야구장,종료  KIA  5  롯데  7,페넌트레이스,MBC SPORTS+
2023.04.18 화,18:30,잠실야구장,종료  NC  6  LG  4,페넌트레이스,SPOTV
2023.04.18 화,18:30,한화생명 이글스 파크,종료  두산  2  한화  0,페넌트레이스,SBS SPORTS
2023.04.18 화,18:30,수원 케이티위즈 파크,종료  SSG  2  KT  4,페넌트레이스,SPOTV2
2023.04.18 화,18:30,고척 스카이돔,종료  삼성  6  키움  4,페넌트레이스,KBS N SPORTS
2023.04.19 수,18:30,사직야구장,종료  KIA  6  롯데  0,페넌트레이스,MBC SPORTS+
2023.04.19 수,18:30,잠실야구장,종료  NC  5  LG  7,페넌트레이스,SPOTV
2023.04.19 수,18:30,한화생명 이글스 파크,종료  두산  6  한화  7,페넌트레이스,SBS SPORTS
2023.04.19 수,18:30,수원 케이티위즈 파크,종료  SSG  2  KT  5,페넌트레이스,SPOTV2
2023.04.19 수,18:30,고척 스카이돔,종료  삼성  9  키움  5,페넌트레이스,KBS N SPORTS
2023.04.20 목,18:30,사직야구장,종료  KIA  3  롯데  5,페넌트레이스,MBC SPORTS+
2023.04.20 목,18:30,잠실야구장,종료  NC  4  LG  9,페넌트레이스,SPOTV
2023.04.20 목,18:30,한화생명 이글스 파크,종료  두산  5  한화  1,페넌트레이스,SBS SPORTS
2023.04.20 목,18:30,수원 케이티위즈 파크,종료  SSG  8  KT  5,페넌트레이스,SPOTV2
2023.04.20 목,18:30,고척 스카이돔,종료  삼성  1  키움  6,페넌트레이스,KBS N SPORTS
2023.04.21 금,18:30,잠실야구장,종료  KT  6  두산  10,페넌트레이스,KBS N SPORTS
2023.04.21 금,18:30,한화생명 이글스 파크,종료  LG  4  한화  2,페넌트레이스,MBC SPORTS+
2023.04.21 금,18:30,창원NC파크,종료  롯데  3  NC  2,페넌트레이스,SBS SPORTS
2023.04.21 금,18:30,광주-기아 챔피언스필드,종료  삼성  4  KIA  5,페넌트레이스,SPOTV2
2023.04.21 금,18:30,인천 SSG 랜더스 필드,종료  키움  1  SSG  3,페넌트레이스,SPOTV
2023.04.22 토,17:00,잠실야구장,종료  KT  1  두산  5,페넌트레이스,KBS N SPORTS
2023.04.22 토,17:00,한화생명 이글스 파크,종료  LG  3  한화  0,페넌트레이스,MBC SPORTS+
2023.04.22 토,17:00,창원NC파크,종료  롯데  10  NC  6,페넌트레이스,SBS SPORTS
2023.04.22 토,17:00,광주-기아 챔피언스필드,종료  삼성  2  KIA  6,페넌트레이스,SPOTV2
2023.04.22 토,17:00,인천 SSG 랜더스 필드,종료  키움  2  SSG  3,페넌트레이스,SPOTV
2023.04.23 일,14:00,잠실야구장,종료  KT  1  두산  1,페넌트레이스,MBC TV
2023.04.23 일,14:00,한화생명 이글스 파크,종료  LG  6  한화  7,페넌트레이스,MBC SPORTS+
2023.04.23 일,14:00,창원NC파크,종료  롯데  5  NC  3,페넌트레이스,SBS SPORTS
2023.04.23 일,14:00,광주-기아 챔피언스필드,종료  삼성  3  KIA  5,페넌트레이스,SPOTV2
2023.04.23 일,14:00,인천 SSG 랜더스 필드,종료  키움  7  SSG  9,페넌트레이스,KBS N SPORTS
2023.04.24 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.25 화,18:30,사직야구장,경기취소  한화  -  롯데  -,페넌트레이스,KBS N SPORTS
2023.04.25 화,18:30,고척 스카이돔,종료  KT  0  키움  1,페넌트레이스,SPOTV
2023.04.25 화,18:30,광주-기아 챔피언스필드,종료  NC  6  KIA  0,페넌트레이스,MBC SPORTS+
2023.04.25 화,18:30,대구 삼성 라이온즈 파크,경기취소  두산  -  삼성  -,페넌트레이스,SBS SPORTS
2023.04.25 화,18:30,잠실야구장,종료  SSG  4  LG  5,페넌트레이스,SPOTV2
